127.0.0.1 - - [13/Jan/2021:15:07:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/ HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/img/slide01.jpg;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/css/header.css;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/img/slide03.jpg;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/css/ad.css;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/css/default.css;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/img/slide02.jpg;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/img/cat.png;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 786360
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:20 +0900] "GET /hotel/resources/img/cat.png;jsessionid=30F93D7ECB2D824D972C90CC1B5A0331 HTTP/1.1" 200 786360
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:07:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:09:58 +0900] "GET /hotel/member/login HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:09:58 +0900] "GET /hotel/resources/css/default.css HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:09:58 +0900] "GET /hotel/resources/css/header.css HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:02 +0900] "GET /hotel/ HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:02 +0900] "GET /hotel/resources/css/ad.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:02 +0900] "GET /hotel/resources/img/slide01.jpg HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:02 +0900] "GET /hotel/resources/img/slide03.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:02 +0900] "GET /hotel/resources/img/slide02.jpg HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:02 +0900] "GET /hotel/resources/img/cat.png HTTP/1.1" 200 786360
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:04 +0900] "GET /hotel/member/newMember HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:06 +0900] "GET /hotel/ HTTP/1.1" 200 6622
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:06 +0900] "GET /hotel/resources/css/ad.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [13/Jan/2021:15:10:06 +0900] "GET /hotel/resources/css/default.css HTTP/1.1" 200 2846
