127.0.0.1 - - [16/Feb/2021:18:18:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:25 +0900] "GET /hotel/ HTTP/1.1" 200 10656
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:25 +0900] "GET /hotel/resources/css/default.css;jsessionid=3A9403A0A769887899809AF85AE4949F HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:25 +0900] "GET /hotel/resources/css/ad.css;jsessionid=3A9403A0A769887899809AF85AE4949F HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:25 +0900] "GET /hotel/resources/css/header.css;jsessionid=3A9403A0A769887899809AF85AE4949F HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:25 +0900] "GET /hotel/resources/img/ad.png;jsessionid=3A9403A0A769887899809AF85AE4949F HTTP/1.1" 200 67561
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:25 +0900] "GET /hotel/resources/img/ad.png;jsessionid=3A9403A0A769887899809AF85AE4949F HTTP/1.1" 200 67561
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:18:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:20:38 +0900] "GET /hotel/hotelboard/list HTTP/1.1" 200 13014
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:20:38 +0900] "GET /hotel/resources/css/default.css HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:20:38 +0900] "GET /hotel/resources/css/header.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:20:38 +0900] "GET /hotel/hotelboard/display?fileName=/2021/01/27/s_46290c8b-7f9f-496e-888a-d7abc2953109_%EC%A3%BC%EC%86%8C%EC%A1%B0%ED%9A%8C2.png HTTP/1.1" 200 119728
0:0:0:0:0:0:0:1 - - [16/Feb/2021:18:20:38 +0900] "GET /hotel/hotelboard/display?fileName=/2021/01/26/s_a74df206-2d32-4479-b873-91569770aa38_%EC%A3%BC%EC%86%8C%EC%A1%B0%ED%9A%8C1.PNG HTTP/1.1" 200 104063
